TimeGenerated [UTC],AlertId,AlertName,AlertDescription,AlertVerdict,AlertStatus,AlertOriginalStatus,Dvc,DvcDescription,DvcIpAddr,DvcId,DvcIdType,DvcOs,DvcOsVersion,User,ProcessName,ProcessId,ProcessCommandLine,FileName,EventUid,EventType,EventCount,EventSeverity,EventOriginalSeverity,EventMessage,EventOriginalType,EventSubType,EventOriginalSubType,EventStartTime [UTC],EventEndTime [UTC],EventProduct,EventVendor,EventResult,EventSchema,EventSchemaVersion,IpAddr,,Username,UsernameType,Rule,RuleNumber,RuleName,RuleDescription,DvcHostname,Hostname,ThreatOriginalCategory,AttackTactics,AttackTechniques,Type,AdditionalFields
"7/2/2026, 1:00:29.638 PM",2514639847078332084,Service Account Logged in via RDP,REMOTE_INTERACTIVE logon successful,Unknown,Active,unresolved,AEUxxxxUS1,server,10.0.0.18,3b41axxxx3b41a,Other,windows,Windows Server 2022 Datacenter Azure Edition,serxxx@test.com,svchost.exe,2704,svchost.exe,svchost.exe,2514639847078332084,Alert,1,High,High,REMOTE_INTERACTIVE logon successful,WINLOGONATTEMPT,Suspicious Activity,suspicious,"7/2/2026, 1:00:29.638 PM","7/2/2026, 1:00:29.638 PM",Singularity,SentinelOne,Success,AlertEvent,0.1,10.0.0.0,,THOxxx@test.com,UPN,Windows Event logs cleared,48051524,Windows Event logs cleared,This rule triggers when a windows event log is cleared,DESxxxxSKT,DESxxxxSKT,WindowsEventLogCleared,Defense Impairment,"Clear Windows Event Logs (T1685.005), Disable or Modify Windows Event Log (T1685.001)",SentinelOneAlerts_CL,{}
"7/22/2026, 5:43:20.238 PM",2529277721406016685,Service Account Logged in via RDP,REMOTE_INTERACTIVE logon successful,Unknown,Active,unresolved,AEUxxxxUS1,server,10.0.0.9,3b41axxxx3b41a,Other,windows,Windows Server 2022 Datacenter Azure Edition,serxxx@test.com,svchost.exe,2988,svchost.exe,svchost.exe,2529277721406016685,Alert,1,High,High,REMOTE_INTERACTIVE logon successful,WINLOGONATTEMPT,Suspicious Activity,suspicious,"7/22/2026, 5:43:20.238 PM","7/22/2026, 5:43:20.238 PM",Singularity,SentinelOne,Success,AlertEvent,0.1,10.0.0.0,,THOxxx@test.com,UPN,Windows Event logs cleared,48051524,Windows Event logs cleared,This rule triggers when a windows event log is cleared,DESxxxxSKT,DESxxxxSKT,WindowsEventLogCleared,Defense Impairment,"Clear Windows Event Logs (T1685.005), Disable or Modify Windows Event Log (T1685.001)",SentinelOneAlerts_CL,{}
"7/24/2026, 5:34:31.794 PM",2530722839950322457,Service Account Logged in via RDP,REMOTE_INTERACTIVE logon successful,Unknown,Active,unresolved,AEUxxxxUS1,server,10.0.0.11,3b41axxxx3b41a,Other,windows,Windows Server 2022 Datacenter Azure Edition,serxxx@test.com,svchost.exe,2988,svchost.exe,svchost.exe,2530722839950322457,Alert,1,High,High,REMOTE_INTERACTIVE logon successful,WINLOGONATTEMPT,Suspicious Activity,suspicious,"7/24/2026, 5:34:31.794 PM","7/24/2026, 5:34:31.794 PM",Singularity,SentinelOne,Success,AlertEvent,0.1,10.0.0.0,,THOxxx@test.com,UPN,File Signed by Connectwise Detected (ScreenConnect),,File Signed by Connectwise Detected (ScreenConnect),,JE8xxxx82U,JE8xxxx82U,,,,SentinelOneAlerts_CL,{}
"7/9/2026, 8:31:08.858 PM",2519940098608050576,Service Account Logged in via RDP,REMOTE_INTERACTIVE logon successful,Unknown,Active,unresolved,AEUxxxxUS1,server,10.0.0.14,3b41axxxx3b41a,Other,windows,Windows Server 2022 Datacenter Azure Edition,serxxx@test.com,svchost.exe,2704,svchost.exe,svchost.exe,2519940098608050576,Alert,1,High,High,REMOTE_INTERACTIVE logon successful,WINLOGONATTEMPT,Suspicious Activity,suspicious,"7/9/2026, 8:31:08.858 PM","7/9/2026, 8:31:08.858 PM",Singularity,SentinelOne,Success,AlertEvent,0.1,10.0.0.0,,OP-xxx@test.com,UPN,Detect Unapproved Browser (Opera and Brave),,Detect Unapproved Browser (Opera and Brave),"Mitigate and Delete unapproved Internet browsers (Opera, Brave) to be executed",DESxxxxSKT,DESxxxxSKT,,,,SentinelOneAlerts_CL,{}
"6/24/2026, 8:06:41.011 PM",2509056149445878503,Potential EFI backdoor C2 from winlogon,This rule triggers on traffic from the winlogon process and excludes known false positives such as comms to Microsoft IPs.  This rule should have a 100% true positive ratio,Unknown,Active,unresolved,QZCxxxxC01,desktop,10.0.0.7,9db21xxxx9db21,Other,windows,Windows 11 Enterprise,THOxxx@test.com,winlogon.exe,11420,winlogon.exe,winlogon.exe,2509056149445878503,Alert,1,High,Critical,This rule triggers on traffic from the winlogon process and excludes known false positives such as comms to Microsoft IPs.  This rule should have a 100% true positive ratio,TCPV4,Anomaly,undefined,"6/24/2026, 8:06:41.011 PM","6/24/2026, 8:06:41.011 PM",Singularity,SentinelOne,Success,AlertEvent,0.1,10.0.0.0,,serxxx@test.com,UPN,Service Account Logged in via RDP,,Service Account Logged in via RDP,,AEUxxxxUS1,AEUxxxxUS1,,,,SentinelOneAlerts_CL,{}
"6/17/2026, 5:20:31.188 AM",2503536698523390291,Failed Login to server via VSPHERE,INTERACTIVE logon failed,Unknown,Active,unresolved,DCSxxxxS01,server,10.0.0.1,6556fxxxx6556f,Other,windows,Windows Server 2016 Standard,a00xxx@test.com,lsass.exe,732,lsass.exe,lsass.exe,2503536698523390291,Alert,1,Medium,Medium,INTERACTIVE logon failed,WINLOGONATTEMPT,Anomaly,undefined,"6/17/2026, 5:20:31.188 AM","6/17/2026, 5:20:31.188 AM",Singularity,SentinelOne,Success,AlertEvent,0.1,127.0.0.1,,OP-xxx@test.com,UPN,Detect Unapproved Browser (Opera and Brave),,Detect Unapproved Browser (Opera and Brave),"Mitigate and Delete unapproved Internet browsers (Opera, Brave) to be executed",DESxxxxSKT,DESxxxxSKT,,,,SentinelOneAlerts_CL,{}
"6/17/2026, 5:42:57.210 AM",2503547989766173547,Failed Login to server via VSPHERE,INTERACTIVE logon failed,Unknown,Active,unresolved,GTMxxxxM01,server,10.0.0.1,2b44dxxxx2b44d,Other,windows,Windows Server 2016 Standard,a00xxx@test.com,lsass.exe,732,lsass.exe,lsass.exe,2503547989766173547,Alert,1,Medium,Medium,INTERACTIVE logon failed,WINLOGONATTEMPT,Anomaly,undefined,"6/17/2026, 5:42:57.210 AM","6/17/2026, 5:42:57.210 AM",Singularity,SentinelOne,Success,AlertEvent,0.1,127.0.0.1,,OP-xxx@test.com,UPN,Detect Unapproved Browser (Opera and Brave),,Detect Unapproved Browser (Opera and Brave),"Mitigate and Delete unapproved Internet browsers (Opera, Brave) to be executed",DESxxxxSKT,DESxxxxSKT,,,,SentinelOneAlerts_CL,{}
"6/17/2026, 9:12:02.746 AM",2503653238159637922,Failed Login to server via VSPHERE,INTERACTIVE logon failed,Unknown,Active,unresolved,DCSxxxxS01,server,10.0.0.1,6030fxxxx6030f,Other,windows,Windows Server 2016 Standard,003xxx@test.com,lsass.exe,916,lsass.exe,lsass.exe,2503653238159637922,Alert,1,Medium,Medium,INTERACTIVE logon failed,WINLOGONATTEMPT,Anomaly,undefined,"6/17/2026, 9:12:02.746 AM","6/17/2026, 9:12:02.746 AM",Singularity,SentinelOne,Success,AlertEvent,0.1,127.0.0.1,,THOxxx@test.com,UPN,Windows Event logs cleared,,Windows Event logs cleared,This rule triggers when a windows event log is cleared,DESxxxxSKT,DESxxxxSKT,WindowsEventLogCleared,Defense Impairment,"Clear Windows Event Logs (T1685.005), Disable or Modify Windows Event Log (T1685.001)",SentinelOneAlerts_CL,{}
"6/23/2026, 10:41:57.704 AM",2508047139928778896,Failed Login to server via VSPHERE,INTERACTIVE logon failed,Unknown,Active,unresolved,ELPxxxxP02,server,10.0.0.1,e214cxxxxe214c,Other,windows,Windows Server 2016 Standard,erxxx@test.com,lsass.exe,704,lsass.exe,lsass.exe,2508047139928778896,Alert,1,Medium,Medium,INTERACTIVE logon failed,WINLOGONATTEMPT,Anomaly,undefined,"6/23/2026, 10:41:57.704 AM","6/23/2026, 10:41:57.704 AM",Singularity,SentinelOne,Success,AlertEvent,0.1,127.0.0.1,,THOxxx@test.com,UPN,Windows Event logs cleared,,Windows Event logs cleared,This rule triggers when a windows event log is cleared,DESxxxxSKT,DESxxxxSKT,WindowsEventLogCleared,Defense Impairment,"Clear Windows Event Logs (T1685.005), Disable or Modify Windows Event Log (T1685.001)",SentinelOneAlerts_CL,{}
"6/24/2026, 5:21:54.179 PM",2508973212971895610,Failed Login to server via VSPHERE,INTERACTIVE logon failed,Unknown,Active,unresolved,DCSxxxxS01,server,10.0.0.1,2c33dxxxx2c33d,Other,windows,Windows Server 2016 Standard,m00xxx@test.com,lsass.exe,732,lsass.exe,lsass.exe,2508973212971895610,Alert,1,Medium,Medium,INTERACTIVE logon failed,WINLOGONATTEMPT,Anomaly,undefined,"6/24/2026, 5:21:54.179 PM","6/24/2026, 5:21:54.179 PM",Singularity,SentinelOne,Success,AlertEvent,0.1,127.0.0.1,,xxx@test.com,UPN,Monitor abnormal modification of SSH Authorization File,,Monitor abnormal modification of SSH Authorization File,,DCSxxxxS01,DCSxxxxS01,,,,SentinelOneAlerts_CL,{}
"7/15/2026, 4:56:26.926 PM",2524180691498422367,Failed Login to server via VSPHERE,INTERACTIVE logon failed,Unknown,Active,unresolved,MOHxxxxH01,server,10.0.0.1,2ca6cxxxx2ca6c,Other,windows,Windows Server 2016 Standard,h00xxx@test.com,lsass.exe,720,lsass.exe,lsass.exe,2524180691498422367,Alert,1,Medium,Medium,INTERACTIVE logon failed,WINLOGONATTEMPT,Anomaly,undefined,"7/15/2026, 4:56:26.926 PM","7/15/2026, 4:56:26.926 PM",Singularity,SentinelOne,Success,AlertEvent,0.1,127.0.0.1,,THOxxx@test.com,UPN,Command Prompt opened by Sacsess,,Command Prompt opened by Sacsess,Sacsess is a remote access tool used in the Azure environment to run commands remotely into Azure vms.,AEUxxxxUS1,AEUxxxxUS1,,,,SentinelOneAlerts_CL,{}
"7/23/2026, 2:10:50.738 PM",2529895546583345527,Failed Login to server via VSPHERE,INTERACTIVE logon failed,Unknown,Active,unresolved,MOHxxxxH01,server,10.0.0.1,2ca6cxxxx2ca6c,Other,windows,Windows Server 2016 Standard,h00xxx@test.com,lsass.exe,720,lsass.exe,lsass.exe,2529895546583345527,Alert,1,Medium,Medium,INTERACTIVE logon failed,WINLOGONATTEMPT,Anomaly,undefined,"7/23/2026, 2:10:50.738 PM","7/23/2026, 2:10:50.738 PM",Singularity,SentinelOne,Success,AlertEvent,0.1,127.0.0.1,,pa0xxx@test.com,UPN,Detect Unapproved Browser (Opera and Brave),,Detect Unapproved Browser (Opera and Brave),"Mitigate and Delete unapproved Internet browsers (Opera, Brave) to be executed",ALBxxxxB02,ALBxxxxB02,,,,SentinelOneAlerts_CL,{}
"7/23/2026, 3:52:13.387 AM",2529584183676752876,Failed Login to server via VSPHERE,INTERACTIVE logon failed,Unknown,Active,unresolved,QZCxxxxC01,server,10.0.0.1,aa896xxxxaa896,Other,windows,Windows Server 2016 Standard,a00xxx@test.com,lsass.exe,704,lsass.exe,lsass.exe,2529584183676752876,Alert,1,Medium,Medium,INTERACTIVE logon failed,WINLOGONATTEMPT,Anomaly,undefined,"7/23/2026, 3:52:13.387 AM","7/23/2026, 3:52:13.387 AM",Singularity,SentinelOne,Success,AlertEvent,0.1,127.0.0.1,,OP-xxx@test.com,UPN,Detect Unapproved Browser (Opera and Brave),,Detect Unapproved Browser (Opera and Brave),"Mitigate and Delete unapproved Internet browsers (Opera, Brave) to be executed",DESxxxxSKT,DESxxxxSKT,,,,SentinelOneAlerts_CL,{}
"7/9/2026, 4:39:23.063 AM",2519461060502387294,Failed Login to server via VSPHERE,INTERACTIVE logon failed,Unknown,Active,unresolved,MZAxxxxA01,server,10.0.0.1,0afbdxxxx0afbd,Other,windows,Windows Server 2016 Standard,erxxx@test.com,lsass.exe,692,lsass.exe,lsass.exe,2519461060502387294,Alert,1,Medium,Medium,INTERACTIVE logon failed,WINLOGONATTEMPT,Anomaly,undefined,"7/9/2026, 4:39:23.063 AM","7/9/2026, 4:39:23.063 AM",Singularity,SentinelOne,Success,AlertEvent,0.1,127.0.0.1,,m00xxx@test.com,UPN,Successful Login to server via VSPHERE,,Successful Login to server via VSPHERE,Login from VSPHERE.  THIS IS RARE verify an admin is using it.  Should never be regular user.,MRKxxxxK01,MRKxxxxK01,,,,SentinelOneAlerts_CL,{}
"6/16/2026, 12:16:46.501 PM",2503021430895467970,Successful Login to server via VSPHERE,INTERACTIVE logon successful,Unknown,Active,unresolved,DCSxxxxS01,server,10.0.0.1,6556fxxxx6556f,Other,windows,Windows Server 2016 Standard,a00xxx@test.com,lsass.exe,732,lsass.exe,lsass.exe,2503021430895467970,Alert,1,Medium,Medium,INTERACTIVE logon successful,WINLOGONATTEMPT,Anomaly,undefined,"6/16/2026, 12:16:46.501 PM","6/16/2026, 12:16:46.501 PM",Singularity,SentinelOne,Success,AlertEvent,0.1,127.0.0.1,,xxx@test.com,UPN,Monitor new sudoer creation,,Monitor new sudoer creation,This rule will trigger if the Sudoer file is accessed using visudo,ainxxxxn05,ainxxxxn05,,,,SentinelOneAlerts_CL,{}
"6/17/2026, 10:24:56.642 AM",2503689920251156151,Successful Login to server via VSPHERE,INTERACTIVE logon successful,Unknown,Active,unresolved,DCSxxxxS01,server,10.0.0.1,6030fxxxx6030f,Other,windows,Windows Server 2016 Standard,a00xxx@test.com,lsass.exe,912,lsass.exe,lsass.exe,2503689920251156151,Alert,1,Medium,Medium,INTERACTIVE logon successful,WINLOGONATTEMPT,Anomaly,undefined,"6/17/2026, 10:24:56.642 AM","6/17/2026, 10:24:56.642 AM",Singularity,SentinelOne,Success,AlertEvent,0.1,127.0.0.1,,THOxxx@test.com,UPN,Windows Event logs cleared,,Windows Event logs cleared,This rule triggers when a windows event log is cleared,DCSxxxxS01,DCSxxxxS01,WindowsEventLogCleared,Defense Impairment,"Clear Windows Event Logs (T1685.005), Disable or Modify Windows Event Log (T1685.001)",SentinelOneAlerts_CL,{}
"6/17/2026, 5:42:57.209 AM",2503547989749396329,Successful Login to server via VSPHERE,INTERACTIVE logon successful,Unknown,Active,unresolved,GTMxxxxM01,server,10.0.0.1,2b44dxxxx2b44d,Other,windows,Windows Server 2016 Standard,a00xxx@test.com,lsass.exe,732,lsass.exe,lsass.exe,2503547989749396329,Alert,1,Medium,Medium,INTERACTIVE logon successful,WINLOGONATTEMPT,Anomaly,undefined,"6/17/2026, 5:42:57.209 AM","6/17/2026, 5:42:57.209 AM",Singularity,SentinelOne,Success,AlertEvent,0.1,127.0.0.1,,OP-xxx@test.com,UPN,Detect Unapproved Browser (Opera and Brave),,Detect Unapproved Browser (Opera and Brave),"Mitigate and Delete unapproved Internet browsers (Opera, Brave) to be executed",DESxxxxSKT,DESxxxxSKT,PossibleDllHijackingByKnownLibrary,"Privilege Escalation, Stealth","Dynamic-link Library Injection (T1055.001), DLL (T1574.001), Match Legitimate Resource Name or Location (T1036.005)",SentinelOneAlerts_CL,{}
"6/17/2026, 9:12:41.894 AM",2503653557740438216,Successful Login to server via VSPHERE,INTERACTIVE logon successful,Unknown,Active,unresolved,DCSxxxxS01,server,10.0.0.1,6030fxxxx6030f,Other,windows,Windows Server 2016 Standard,a00xxx@test.com,lsass.exe,916,lsass.exe,lsass.exe,2503653557740438216,Alert,1,Medium,Medium,INTERACTIVE logon successful,WINLOGONATTEMPT,Anomaly,undefined,"6/17/2026, 9:12:41.894 AM","6/17/2026, 9:12:41.894 AM",Singularity,SentinelOne,Success,AlertEvent,0.1,127.0.0.1,,OP-xxx@test.com,UPN,Detect Unapproved Browser (Opera and Brave),,Detect Unapproved Browser (Opera and Brave),"Mitigate and Delete unapproved Internet browsers (Opera, Brave) to be executed",DESxxxxSKT,DESxxxxSKT,,,,SentinelOneAlerts_CL,{}
"6/22/2026, 5:43:02.438 PM",2507534300148719607,Successful Login to server via VSPHERE,INTERACTIVE logon successful,Unknown,Active,unresolved,INBxxxxB01,server,10.0.0.1,69ecaxxxx69eca,Other,windows,Windows Server 2016 Standard,p00xxx@test.com,lsass.exe,684,lsass.exe,lsass.exe,2507534300148719607,Alert,1,Medium,Medium,INTERACTIVE logon successful,WINLOGONATTEMPT,Anomaly,undefined,"6/22/2026, 5:43:02.438 PM","6/22/2026, 5:43:02.438 PM",Singularity,SentinelOne,Success,AlertEvent,0.1,127.0.0.1,,h00xxx@test.com,UPN,Failed Login to server via VSPHERE,,Failed Login to server via VSPHERE,Login from VSPHERE.  THIS IS RARE verify an admin is using it.  Should never be regular user.,MOHxxxxH01,MOHxxxxH01,,,,SentinelOneAlerts_CL,{}
"6/23/2026, 2:26:33.347 PM",2508160181817142354,Successful Login to server via VSPHERE,INTERACTIVE logon successful,Unknown,Active,unresolved,INBxxxxB01,server,10.0.0.1,69ecaxxxx69eca,Other,windows,Windows Server 2016 Standard,p00xxx@test.com,lsass.exe,684,lsass.exe,lsass.exe,2508160181817142354,Alert,1,Medium,Medium,INTERACTIVE logon successful,WINLOGONATTEMPT,Anomaly,undefined,"6/23/2026, 2:26:33.347 PM","6/23/2026, 2:26:33.347 PM",Singularity,SentinelOne,Success,AlertEvent,0.1,127.0.0.1,,h00xxx@test.com,UPN,Successful Login to server via VSPHERE,,Successful Login to server via VSPHERE,Login from VSPHERE.  THIS IS RARE verify an admin is using it.  Should never be regular user.,MOHxxxxH01,MOHxxxxH01,,,,SentinelOneAlerts_CL,{}
"6/23/2026, 3:11:27.018 PM",2508182777950773851,Successful Login to server via VSPHERE,INTERACTIVE logon successful,Unknown,Active,unresolved,INBxxxxB01,server,10.0.0.1,69ecaxxxx69eca,Other,windows,Windows Server 2016 Standard,p00xxx@test.com,lsass.exe,716,lsass.exe,lsass.exe,2508182777950773851,Alert,1,Medium,Medium,INTERACTIVE logon successful,WINLOGONATTEMPT,Anomaly,undefined,"6/23/2026, 3:11:27.018 PM","6/23/2026, 3:11:27.018 PM",Singularity,SentinelOne,Success,AlertEvent,0.1,127.0.0.1,,THOxxx@test.com,UPN,File Signed by Connectwise Detected (ScreenConnect),,File Signed by Connectwise Detected (ScreenConnect),,DESxxxxSKT,DESxxxxSKT,,,,SentinelOneAlerts_CL,{}
