action,"event_type",initiator,metadata,"organization_uuid","TimeGenerated [UTC]","user_email","user_uuid",timestamp,TenantId,Type,"_ResourceId"
"2fa_device_deleted",totp,,"{""platform"":""extension""}","235e26d1-dfba-4f40-ba63-d83b6210c7de","28/02/2025, 09:21:49.000","akvile.jarmalaviciute+splunkreg2@nordsec.com","e8417cf7-6bf7-4779-a0a3-2f5a0ab7ae0b",1740734509,"be3c32f1-d8b7-4f73-8e15-9877d1773cd0","NordPassEventLogs_CL",
"organization_consent_revoked",consents,consents,"{""consented_to_policy"":""share_password_hashes_3rd_party""}","235e26d1-dfba-4f40-ba63-d83b6210c7de","28/02/2025, 12:50:01.000",,,1740747001,"be3c32f1-d8b7-4f73-8e15-9877d1773cd0","NordPassEventLogs_CL",
"organization_consent_revoked",consents,consents,"{""consented_to_policy"":""share_password_hashes_3rd_party""}","235e26d1-dfba-4f40-ba63-d83b6210c7de","28/02/2025, 14:10:17.000",,,1740751817,"be3c32f1-d8b7-4f73-8e15-9877d1773cd0","NordPassEventLogs_CL",
"global_settings_updated","global_settings",,"{""setting"":{""key"":""password_health_leaked_passwords""}}","235e26d1-dfba-4f40-ba63-d83b6210c7de","28/02/2025, 14:10:17.000","user@example.com","726163f5-d18e-41cc-8aa4-3fc950835185",1740751817,"be3c32f1-d8b7-4f73-8e15-9877d1773cd0","NordPassEventLogs_CL",
"item_viewed","sharing_hub",,"{""platform"":""panel"",""items"":[{""item_id"":""b8fa7850-f5ab-11ef-8ecd-cf478c6be690"",""type"":""shared_folder""}]}","235e26d1-dfba-4f40-ba63-d83b6210c7de","28/02/2025, 10:13:05.000","someone@example.com","271391d5-ff71-4adb-947a-19b657a867af",1740737585,"be3c32f1-d8b7-4f73-8e15-9877d1773cd0","NordPassEventLogs_CL",
"item_viewed","item_access",,"{""platform"":""extension"",""items"":[{""item_id"":""43d10b30-f5af-11ef-8ecd-cf478c6be690"",""type"":""item""}],""item_count"":1}","235e26d1-dfba-4f40-ba63-d83b6210c7de","01/03/2025, 02:17:32.000","akvile.jarmalaviciute+splunkreg2@nordsec.com","e8417cf7-6bf7-4779-a0a3-2f5a0ab7ae0b",1740795452,"be3c32f1-d8b7-4f73-8e15-9877d1773cd0","NordPassEventLogs_CL",
"user_status_updated",access,,"{""users"":[{""email"":""akvile.jarmalaviciute+splunkreg2@nordsec.com"",""uuid"":""e8417cf7-6bf7-4779-a0a3-2f5a0ab7ae0b""}],""status"":""active""}","235e26d1-dfba-4f40-ba63-d83b6210c7de","28/02/2025, 08:07:45.000","user@example.com","726163f5-d18e-41cc-8aa4-3fc950835185",1740730065,"be3c32f1-d8b7-4f73-8e15-9877d1773cd0","NordPassEventLogs_CL",
"item_new_ttl_set","item_share",,"{""items"":[{""item_id"":""43d10b30-f5af-11ef-8ecd-cf478c6be690"",""type"":""item""}],""groups"":[],""users"":[{""email"":""user-two@example.com"",""uuid"":""fb7b2078-fcef-495a-ac42-2c42590687e8"",""acl"":""readonly"",""duration"":""P30D"",""expires_at"":""2025-03-30T12:14:08.0000000Z""}]}","235e26d1-dfba-4f40-ba63-d83b6210c7de","28/02/2025, 12:14:08.000","akvile.jarmalaviciute+splunkreg2@nordsec.com","e8417cf7-6bf7-4779-a0a3-2f5a0ab7ae0b",1740744848,"be3c32f1-d8b7-4f73-8e15-9877d1773cd0","NordPassEventLogs_CL",
"item_viewed","item_access",,"{""platform"":""extension"",""items"":[{""item_id"":""43d10b30-f5af-11ef-8ecd-cf478c6be690"",""type"":""item""}],""item_count"":1}","235e26d1-dfba-4f40-ba63-d83b6210c7de","28/02/2025, 19:07:27.000","akvile.jarmalaviciute+splunkreg2@nordsec.com","e8417cf7-6bf7-4779-a0a3-2f5a0ab7ae0b",1740769647,"be3c32f1-d8b7-4f73-8e15-9877d1773cd0","NordPassEventLogs_CL",
"2fa_device_enrolled",totp,,"{""platform"":""ios""}","235e26d1-dfba-4f40-ba63-d83b6210c7de","28/02/2025, 09:44:24.000","akvile.jarmalaviciute+splunkreg2@nordsec.com","e8417cf7-6bf7-4779-a0a3-2f5a0ab7ae0b",1740735864,"be3c32f1-d8b7-4f73-8e15-9877d1773cd0","NordPassEventLogs_CL",
"master_validated",lock,,"{""platform"":""extension""}","235e26d1-dfba-4f40-ba63-d83b6210c7de","28/02/2025, 12:51:10.000","user-three@example.com","27c759c8-5d6c-4879-af78-d526bf1cd42c",1740747070,"be3c32f1-d8b7-4f73-8e15-9877d1773cd0","NordPassEventLogs_CL",
"master_validated",lock,,"{""platform"":""extension""}","235e26d1-dfba-4f40-ba63-d83b6210c7de","28/02/2025, 10:25:27.000","akvile.jarmalaviciute+splunkreg2@nordsec.com","e8417cf7-6bf7-4779-a0a3-2f5a0ab7ae0b",1740738327,"be3c32f1-d8b7-4f73-8e15-9877d1773cd0","NordPassEventLogs_CL",
"item_viewed","item_access",,"{""platform"":""extension"",""items"":[{""item_id"":""43d10b30-f5af-11ef-8ecd-cf478c6be690"",""type"":""item""}],""item_count"":1}","235e26d1-dfba-4f40-ba63-d83b6210c7de","01/03/2025, 02:53:51.000","akvile.jarmalaviciute+splunkreg2@nordsec.com","e8417cf7-6bf7-4779-a0a3-2f5a0ab7ae0b",1740797631,"be3c32f1-d8b7-4f73-8e15-9877d1773cd0","NordPassEventLogs_CL",
"master_validated",lock,,"{""platform"":""panel""}","235e26d1-dfba-4f40-ba63-d83b6210c7de","28/02/2025, 11:48:57.000","someone@example.com","271391d5-ff71-4adb-947a-19b657a867af",1740743337,"be3c32f1-d8b7-4f73-8e15-9877d1773cd0","NordPassEventLogs_CL",
"item_viewed","item_access",,"{""platform"":""extension"",""items"":[{""item_id"":""43d10b30-f5af-11ef-8ecd-cf478c6be690"",""type"":""item""}],""item_count"":1}","235e26d1-dfba-4f40-ba63-d83b6210c7de","01/03/2025, 03:35:19.000","akvile.jarmalaviciute+splunkreg2@nordsec.com","e8417cf7-6bf7-4779-a0a3-2f5a0ab7ae0b",1740800119,"be3c32f1-d8b7-4f73-8e15-9877d1773cd0","NordPassEventLogs_CL",
"global_settings_updated","global_settings",,"{""setting"":{""key"":""sharing_hub""}}","235e26d1-dfba-4f40-ba63-d83b6210c7de","28/02/2025, 12:54:16.000","someone@example.com","271391d5-ff71-4adb-947a-19b657a867af",1740747256,"be3c32f1-d8b7-4f73-8e15-9877d1773cd0","NordPassEventLogs_CL",
"global_settings_updated","global_settings",,"{""setting"":{""key"":""password_health_leaked_passwords""}}","235e26d1-dfba-4f40-ba63-d83b6210c7de","28/02/2025, 12:54:13.000","someone@example.com","271391d5-ff71-4adb-947a-19b657a867af",1740747253,"be3c32f1-d8b7-4f73-8e15-9877d1773cd0","NordPassEventLogs_CL",
"organization_consent_given",consents,consents,"{""consented_to_policy"":""share_password_hashes_3rd_party""}","235e26d1-dfba-4f40-ba63-d83b6210c7de","28/02/2025, 12:54:13.000",,,1740747253,"be3c32f1-d8b7-4f73-8e15-9877d1773cd0","NordPassEventLogs_CL",
