Entity,Pattern,Field,Value,Comment
Table,InsightsMetrics,collection_method,Azure Diagnostics,
Table,Perf,collection_method,AMA,
Table,AppPerformanceCounters,collection_method,Azure Diagnostics,
Table,AppEvents,collection_method,Azure Diagnostics,
Table,ContainerLogV2,collection_method,Azure Diagnostics,
Table,ContainerLog,collection_method,Azure Diagnostics,
Table,Heartbeat,collection_method,AMA,
Table,AzureMetrics,collection_method,Azure Diagnostics,
Table,AppExceptions,support_tier,Microsoft,
Table,FunctionAppLogs,support_tier,Microsoft,
Table,AppServiceConsoleLogs,support_tier,Microsoft,
Table,AppTraces,support_tier,Microsoft,
Table,AppDependencies,support_tier,Microsoft,
Table,AppServiceAppLogs,support_tier,Microsoft,
Table,AppMetrics,support_tier,Microsoft,
Table,AppRequests,support_tier,Microsoft,
Table,InsightsMetrics,support_tier,Microsoft,
Table,Perf,support_tier,Microsoft,
Table,AppPerformanceCounters,support_tier,Microsoft,
Table,AppEvents,support_tier,Microsoft,
Table,ContainerLogV2,support_tier,Microsoft,
Table,ContainerLog,support_tier,Microsoft,
Table,Heartbeat,support_tier,Microsoft,
Table,AzureMetrics,support_tier,Microsoft,
Solution,Eset Security Management Center,solution_support_tier,Partner,
Table,AzureDiagnostics,category,Various,
Table,AzureDiagnostics,collection_method,Azure Diagnostics,
Table,AzureDiagnostics,support_tier,Microsoft,
Table,CommonSecurityLog,additional_information,📖 **Related Documentation:** [CEF and CommonSecurityLog field mapping](https://learn.microsoft.com/azure/sentinel/cef-name-mapping) - Maps CEF field names to CommonSecurityLog column names,
Table,CommonSecurityLog,additional_information,📖 **Related Documentation:** [CEF collection best practices](https://techcommunity.microsoft.com/blog/microsoftsentinelblog/best-practices-for-common-event-format-cef-collection-in-azure-sentinel/969990) - Performance tuning and collection recommendations,
Table,CommonSecurityLog,additional_information,📚 **Vendor CEF Guide:** [Palo Alto PAN-OS](https://docs.paloaltonetworks.com/pan-os/11-1/pan-os-admin/monitoring/use-syslog-for-monitoring/syslog-field-descriptions) - Syslog field descriptions,
Table,CommonSecurityLog,additional_information,📚 **Vendor CEF Guide:** [Fortinet FortiGate](https://docs.fortinet.com/document/fortigate/7.4.0/fortios-log-message-reference/357866/log-message-fields) - Log message fields reference,
Table,CommonSecurityLog,additional_information,📚 **Vendor CEF Guide:** [Cisco ASA](https://www.cisco.com/c/en/us/td/docs/security/asa/syslog/b_syslog.html) - Syslog messages reference,
Table,CommonSecurityLog,additional_information,📚 **Vendor CEF Guide:** [Check Point](https://support.checkpoint.com/results/sk/sk144192) - Log fields description,
Table,CommonSecurityLog,additional_information,📚 **Vendor CEF Guide:** [Barracuda WAF](https://campus.barracuda.com/product/webapplicationfirewall/doc/168300161/how-to-export-logs-from-the-barracuda-web-application-firewall) - How to export logs,
Table,CommonSecurityLog,additional_information,📚 **Vendor CEF Guide:** [Citrix/NetScaler WAF](https://docs.netscaler.com/en-us/citrix-adc/current-release/application-firewall/logs.html) - Application Firewall logs,
Table,CommonSecurityLog,additional_information,📚 **Vendor CEF Guide:** [Symantec Endpoint Protection](https://techdocs.broadcom.com/us/en/symantec-security-software/endpoint-security-and-management/endpoint-protection/all/Monitoring-Reporting-and-Enforcing-Compliance/viewing-logs-v7522439-d37e464/about-the-types-of-logs-v8156418-d37e6.html) - Log types reference,
Table,SecurityAlert,additional_information,📖 **Related Documentation:** [Security alert schema reference](https://learn.microsoft.com/azure/sentinel/security-alert-schema) - Describes the SecurityAlert table schema and field definitions,
Table,ASimDnsActivityLogs,additional_information,📖 **Related Documentation:** [ASIM normalized DNS schema](https://learn.microsoft.com/azure/sentinel/dns-ama-fields#asim-normalized-dns-schema) - describes the mapping of Windows DNS server fields into the normalized field names as they appear in the [DNS normalization schema](https://learn.microsoft.com/azure/sentinel/normalization-schema-dns#schema-details),
Connector,MicrosoftPurviewInformationProtection,additional_information,📖 **Related Documentation:** [Microsoft Purview Information Protection connector reference](https://learn.microsoft.com/azure/sentinel/microsoft-purview-record-types-activities) - Supported audit log record types and activities,
Table,NTANetAnalytics,additional_information,📖 **Related Documentation:** [Traffic Analytics schema](https://learn.microsoft.com/azure/network-watcher/traffic-analytics-schema) - NSG and VNet flow log schema and data aggregation,
Table,AzureNetworkAnalytics_CL,additional_information,📖 **Related Documentation:** [Traffic Analytics schema](https://learn.microsoft.com/azure/network-watcher/traffic-analytics-schema) - NSG flow log schema and data aggregation,
Connector,CEF,additional_information,📖 **Related Documentation:** [CEF and CommonSecurityLog field mapping](https://learn.microsoft.com/azure/sentinel/cef-name-mapping) - Maps CEF field names to CommonSecurityLog column names,
Connector,CefAma,additional_information,📖 **Related Documentation:** [CEF and CommonSecurityLog field mapping](https://learn.microsoft.com/azure/sentinel/cef-name-mapping) - Maps CEF field names to CommonSecurityLog column names,
Connector,SecurityEvents,additional_information,"📖 **Related Documentation:** [Windows security event sets reference](https://learn.microsoft.com/azure/sentinel/windows-security-event-id-reference) - Lists Windows security event IDs for Minimal, Common, and All event sets",
Connector,WindowsSecurityEvents,additional_information,"📖 **Related Documentation:** [Windows security event sets reference](https://learn.microsoft.com/azure/sentinel/windows-security-event-id-reference) - Lists Windows security event IDs for Minimal, Common, and All event sets",
Connector,PaloAltoNetworks,additional_information,"📖 **Vendor Documentation:** [PAN-OS Syslog Field Descriptions](https://docs.paloaltonetworks.com/pan-os/11-1/pan-os-admin/monitoring/use-syslog-for-monitoring/syslog-field-descriptions) - Traffic, Threat, URL, and other log field definitions",
Connector,PaloAltoNetworks,additional_information,📖 **Vendor Documentation:** [Palo Alto Common Event Format (CEF) Configuration Guides](https://docs.paloaltonetworks.com/resources/cef),
Connector,PaloAltoNetworksAma,additional_information,"📖 **Vendor Documentation:** [PAN-OS Syslog Field Descriptions](https://docs.paloaltonetworks.com/pan-os/11-1/pan-os-admin/monitoring/use-syslog-for-monitoring/syslog-field-descriptions) - Traffic, Threat, URL, and other log field definitions",
Connector,PaloAltoNetworksAma,additional_information,📖 **Vendor Documentation:** [Palo Alto Common Event Format (CEF) Configuration Guides](https://docs.paloaltonetworks.com/resources/cef),
Connector,PaloAltoCDL,additional_information,"📖 **Vendor Documentation:** [PAN-OS Syslog Field Descriptions](https://docs.paloaltonetworks.com/pan-os/11-1/pan-os-admin/monitoring/use-syslog-for-monitoring/syslog-field-descriptions) - Traffic, Threat, URL, and other log field definitions",
Connector,PaloAltoCDL,additional_information,📖 **Vendor Documentation:** [Palo Alto Common Event Format (CEF) Configuration Guides](https://docs.paloaltonetworks.com/resources/cef),
Connector,PaloAltoCDLAma,additional_information,"📖 **Vendor Documentation:** [PAN-OS Syslog Field Descriptions](https://docs.paloaltonetworks.com/pan-os/11-1/pan-os-admin/monitoring/use-syslog-for-monitoring/syslog-field-descriptions) - Traffic, Threat, URL, and other log field definitions",
Connector,PaloAltoCDLAma,additional_information,📖 **Vendor Documentation:** [Palo Alto Common Event Format (CEF) Configuration Guides](https://docs.paloaltonetworks.com/resources/cef),
Connector,Fortinet,additional_information,📖 **Vendor Documentation:** [FortiGate Log Message Fields](https://docs.fortinet.com/document/fortigate/7.4.0/fortios-log-message-reference/357866/log-message-fields) - Complete log field reference with examples,
Connector,FortinetAma,additional_information,📖 **Vendor Documentation:** [FortiGate Log Message Fields](https://docs.fortinet.com/document/fortigate/7.4.0/fortios-log-message-reference/357866/log-message-fields) - Complete log field reference with examples,
Connector,CiscoASA,additional_information,📖 **Vendor Documentation:** [Cisco ASA Syslog Messages](https://www.cisco.com/c/en/us/td/docs/security/asa/syslog/b_syslog.html) - Complete ASA syslog message reference,
Connector,CiscoAsaAma,additional_information,📖 **Vendor Documentation:** [Cisco ASA Syslog Messages](https://www.cisco.com/c/en/us/td/docs/security/asa/syslog/b_syslog.html) - Complete ASA syslog message reference,
Connector,CiscoFirepowerEStreamer,additional_information,📖 **Vendor Documentation:** [Cisco Firepower Threat Defense Syslog Messages](https://www.cisco.com/c/en/us/td/docs/security/firepower/Syslogs/b_fptd_syslog_guide.html) - Firepower syslog message reference,
Connector,CiscoFirepowerEStreamerAma,additional_information,📖 **Vendor Documentation:** [Cisco Firepower Threat Defense Syslog Messages](https://www.cisco.com/c/en/us/td/docs/security/firepower/Syslogs/b_fptd_syslog_guide.html) - Firepower syslog message reference,
Connector,Zscaler,additional_information,📖 **Vendor Documentation:** [Zscaler and Microsoft Sentinel Deployment Guide](https://help.zscaler.com/zscaler-technology-partners/zscaler-and-microsoft-sentinel-deployment-guide),
Connector,F5,additional_information,📖 **Vendor Documentation:** [F5 BIG-IP Event Messages](https://support.f5.com/kb/en-us/products/big-ip_ltm/manuals/product/bigip-external-monitoring-implementations-13-0-0/3.html) - Event messages and attack types,
Connector,F5Ama,additional_information,📖 **Vendor Documentation:** [F5 BIG-IP Event Messages](https://support.f5.com/kb/en-us/products/big-ip_ltm/manuals/product/bigip-external-monitoring-implementations-13-0-0/3.html) - Event messages and attack types,
Connector,CitrixWAF,additional_information,📖 **Vendor Documentation:** [NetScaler WAF CEF Logging](https://docs.netscaler.com/en-us/citrix-adc/current-release/application-firewall/logs.html) - CEF logging support in Application Firewall,
Connector,CitrixWAFAma,additional_information,📖 **Vendor Documentation:** [NetScaler WAF CEF Logging](https://docs.netscaler.com/en-us/citrix-adc/current-release/application-firewall/logs.html) - CEF logging support in Application Firewall,
Connector,Barracuda,additional_information,📖 **Vendor Documentation:** [Barracuda WAF Export Logs](https://campus.barracuda.com/product/webapplicationfirewall/doc/168300161/how-to-export-logs-from-the-barracuda-web-application-firewall) - How to configure syslog and log settings,
Solution,Check Point,additional_information,📖 **Vendor Documentation:** [Check Point Log Fields Description](https://support.checkpoint.com/results/sk/sk144192) - Log field definitions and descriptions,
Solution,Fortinet FortiGate,additional_information,📖 **Vendor Documentation:** [FortiGate Log Message Fields](https://docs.fortinet.com/document/fortigate/7.4.0/fortios-log-message-reference/357866/log-message-fields) - Complete log field reference with examples,
Solution,Barracuda WAF,additional_information,📖 **Vendor Documentation:** [Barracuda WAF Export Logs](https://campus.barracuda.com/product/webapplicationfirewall/doc/168300161/how-to-export-logs-from-the-barracuda-web-application-firewall) - How to configure syslog and log settings,
Solution,Cisco ASA,additional_information,📖 **Vendor Documentation:** [Cisco ASA Syslog Messages](https://www.cisco.com/c/en/us/td/docs/security/asa/syslog/b_syslog.html) - Complete ASA syslog message reference,
Solution,Cisco.*Umbrella,additional_information,📖 **Vendor Documentation:** [Cisco Umbrella Log Formats](https://docs.umbrella.com/deployment-umbrella/docs/log-formats-and-versioning) - Log formats and versioning guide,
Solution,Cisco.*Meraki,additional_information,📖 **Vendor Documentation:** [Cisco Meraki Syslog Events](https://documentation.meraki.com/General_Administration/Monitoring_and_Reporting/Syslog_Event_Types_and_Log_Samples) - Syslog event types and log samples,
Solution,F5.*BIG-IP,additional_information,📖 **Vendor Documentation:** [F5 BIG-IP Event Messages](https://support.f5.com/kb/en-us/products/big-ip_ltm/manuals/product/bigip-external-monitoring-implementations-13-0-0/3.html) - Event messages and attack types,
Solution,Citrix WAF,additional_information,📖 **Vendor Documentation:** [NetScaler WAF CEF Logging](https://docs.netscaler.com/en-us/citrix-adc/current-release/application-firewall/logs.html) - CEF logging and geolocation support,
Solution,Symantec Endpoint Protection,additional_information,"📖 **Vendor Documentation:** [Symantec SEPM Log Types](https://techdocs.broadcom.com/us/en/symantec-security-software/endpoint-security-and-management/endpoint-protection/all/Monitoring-Reporting-and-Enforcing-Compliance/viewing-logs-v7522439-d37e464/about-the-types-of-logs-v8156418-d37e6.html) - Log types including Risk, Scan, System, Audit, and Application Control",
Connector,Office365,additional_information,**Alternatives:** [CCF based Microsoft 365 Audit Connectors (General + DLP) for Microsoft Sentinel](https://github.com/markolauren/sentinel/blob/main/M365AuditGeneralAndDLPSolution/README.md),
Solution,Zero Trust.*TIC 3.0,additional_information,📖 **Documentation:** [Zero Trust (TIC 3.0) Solution for Microsoft Sentinel](https://learn.microsoft.com/azure/sentinel/sentinel-solution) - Provides visibility into Zero Trust/TIC3.0 maturity with workbooks and analytics rules,ASIM-based domain solution
Solution,Network Session Essentials,additional_information,📖 **Related Documentation:** [ASIM-based domain solutions overview](https://learn.microsoft.com/azure/sentinel/domain-based-essential-solutions) - Uses ASIM Network Session schema for cross-product threat detection,ASIM-based domain solution
Solution,Network Session Essentials,additional_information,📖 **Related Documentation:** [ASIM Network Session schema reference](https://learn.microsoft.com/azure/sentinel/normalization-schema-network) - Field definitions for normalized network logs,ASIM-based domain solution
Solution,DNS Essentials,additional_information,📖 **Related Documentation:** [ASIM-based domain solutions overview](https://learn.microsoft.com/azure/sentinel/domain-based-essential-solutions) - Uses ASIM DNS schema for cross-product threat detection,ASIM-based domain solution
Solution,DNS Essentials,additional_information,📖 **Related Documentation:** [ASIM DNS schema reference](https://learn.microsoft.com/azure/sentinel/normalization-schema-dns) - Field definitions for normalized DNS logs,ASIM-based domain solution
Solution,Microsoft Sentinel.*SAP,additional_information,📖 **Related Documentation:** [SAP solution overview](https://learn.microsoft.com/azure/sentinel/sap/solution-overview) - Continuous threat monitoring for SAP systems,SAP Solution
Solution,Microsoft Sentinel.*SAP,additional_information,📖 **Related Documentation:** [SAP solution deployment](https://learn.microsoft.com/azure/sentinel/sap/deployment-overview) - Step-by-step deployment guide,SAP Solution
Solution,Microsoft Sentinel.*SAP,additional_information,📖 **Related Documentation:** [SAP solution security content](https://learn.microsoft.com/azure/sentinel/sap/sap-solution-security-content) - Built-in analytics rules and detections,SAP Solution
Solution,Microsoft Sentinel.*SAP,additional_information,📖 **Related Documentation:** [SAP BTP solution](https://learn.microsoft.com/azure/sentinel/sap/sap-btp-solution-overview) - Threat monitoring for SAP Business Technology Platform,SAP Solution
Solution,Microsoft Sentinel.*SAP,additional_information,🤝 **Partner Add-ons:** [SAP Enterprise Threat Detection (ETD)](https://learn.microsoft.com/azure/sentinel/sap/solution-partner-overview#solutions-provided-by-sap-as-vendor) • [Onapsis](https://learn.microsoft.com/azure/sentinel/sap/solution-partner-overview#solutions-provided-by-specialized-sap-security-vendors) • [Pathlock](https://learn.microsoft.com/azure/sentinel/sap/solution-partner-overview#solutions-provided-by-specialized-sap-security-vendors) • [SecurityBridge](https://learn.microsoft.com/azure/sentinel/sap/solution-partner-overview#solutions-provided-by-specialized-sap-security-vendors),SAP Solution
Solution,Microsoft Sentinel.*SAP,additional_information,🔗 **Community Extensions:** [SAP Community Repo](https://github.com/Azure-Samples/Sentinel-For-SAP-Community),SAP Solution
Solution,Microsoft Sentinel.*SAP,additional_information,🏅 **Certification:** [SAP Certified Solutions Directory](https://www.sap.com/dmc/exp/sap-certified-solutions/#/solutions?search=sentinel),SAP Solution
Solution,.*|azuresentinel\.sentinel4sql,dependency_override,Azure SQL Database solution for sentinel,Wrong publisher_id in source metadata
Solution,.*|azuresentinel\.azure-sentinel-solution-microsoft365,dependency_override,Microsoft 365,Wrong offer_id in source metadata
Solution,.*|azuresentinel\.azure-sentinel-solution-windowssecurityevents,dependency_override,Windows Security Events,Wrong offer_id in source metadata
Solution,.*|azuresentinel\.azure-sentinel-solution-userentitybehavioranalytics,dependency_override,UEBA Essentials,Wrong offer_id in source metadata
connector_association,Syslog,tables_only,SyslogAma|Syslog,Items using only Syslog table
connector_association,SecurityEvent,tables_only,WindowsSecurityEvents|Windows Security Events,Items using only SecurityEvent table
Solution,1Password,is_published,true,
Solution,42Crunch\ API\ Protection,is_published,true,
Solution,AI\ Analyst\ Darktrace,is_published,true,
Solution,AIShield\ AI\ Security\ Monitoring,is_published,true,
Solution,ARGOSCloudSecurity,is_published,true,
Solution,AWS_AccessLogs,is_published,true,
Solution,AWSAthena,is_published,true,
Solution,AWS\ CloudFront,is_published,true,
Solution,AWS_IAM,is_published,true,
Solution,AWS\ Security\ Hub,is_published,true,
Solution,AWS\ Systems\ Manager,is_published,true,
Solution,AbnormalSecurity,is_published,true,
Solution,AbuseIPDB,is_published,true,
Solution,Obsidian\ Datasharing,is_published,true,
Solution,Acronis\ Cyber\ Protect\ Cloud,is_published,true,
Solution,AgileSec\ Analytics\ Connector,is_published,true,
Solution,Akamai\ Security\ Events,is_published,true,
Solution,Alibaba\ Cloud,is_published,true,
Solution,Alibaba\ Cloud\ ActionTrail,is_published,true,
Solution,Amazon\ Web\ Services,is_published,true,
Solution,Amazon\ Web\ Services\ NetworkFirewall,is_published,true,
Solution,Amazon\ Web\ Services\ Route\ 53,is_published,true,
Solution,Anvilogic,is_published,true,
Solution,ApacheHTTPServer,is_published,true,
Solution,Tomcat,is_published,true,
Solution,AristaAwakeSecurity,is_published,true,
Solution,Armis,is_published,true,
Solution,Armorblox,is_published,true,
Solution,Aruba\ ClearPass,is_published,true,
Solution,Integration\ for\ Atlassian\ Beacon,is_published,true,
Solution,AtlassianConfluenceAudit,is_published,true,
Solution,AtlassianJiraAudit,is_published,true,
Solution,Attacker\ Tools\ Threat\ Protection\ Essentials,is_published,true,
Solution,Australian\ Cyber\ Security\ Centre,is_published,true,
Solution,Auth0,is_published,true,
Solution,ALC\-WebCTRL,is_published,true,
Solution,Azure\ Activity,is_published,true,
Solution,Azure\ Batch\ Account,is_published,true,
Solution,Azure\ Cognitive\ Search,is_published,true,
Solution,Azure\ DDoS\ Protection,is_published,true,
Solution,Azure\ Data\ Lake\ Storage\ Gen1,is_published,true,
Solution,AzureDevOpsAuditing,is_published,true,
Solution,Azure\ Event\ Hubs,is_published,true,
Solution,Azure\ Firewall,is_published,true,
Solution,Azure\ Key\ Vault,is_published,true,
Solution,Azure\ kubernetes\ Service,is_published,true,
Solution,Azure\ Logic\ Apps,is_published,true,
Solution,Azure\ Network\ Security\ Groups,is_published,true,
Solution,Azure\ Resource\ Graph,is_published,true,
Solution,Azure\ SQL\ Database\ solution\ for\ sentinel,is_published,true,
Solution,AzureSecurityBenchmark,is_published,true,
Solution,Azure\ Service\ Bus,is_published,true,
Solution,Azure\ Storage,is_published,true,
Solution,Azure\ Stream\ Analytics,is_published,true,
Solution,Azure\ Web\ Application\ Firewall\ \(WAF\),is_published,true,
Solution,BETTER\ Mobile\ Threat\ Defense\ \(MTD\),is_published,true,
Solution,Barracuda\ CloudGen\ Firewall,is_published,true,
Solution,Barracuda\ WAF,is_published,true,
Solution,Bitglass,is_published,true,
Solution,BitSight,is_published,true,
Solution,Bitwarden,is_published,true,
Solution,Blackberry\ CylancePROTECT,is_published,true,
Solution,BlinkOps,is_published,true,
Solution,BloodHound\ Enterprise,is_published,true,
Solution,Box,is_published,true,
Solution,Broadcom\ SymantecDLP,is_published,true,
Solution,Business\ Email\ Compromise\ \-\ Financial\ Fraud,is_published,true,
Solution,CTERA,is_published,true,
Solution,CTM360,is_published,true,
Solution,Cyfirma\ Attack\ Surface,is_published,true,
Solution,Cyfirma\ Brand\ Intelligence,is_published,true,
Solution,Cyfirma\ Compromised\ Accounts,is_published,true,
Solution,Cyfirma\ Cyber\ Intelligence,is_published,true,
Solution,Cyfirma\ Digital\ Risk,is_published,true,
Solution,Check\ Point,is_published,true,
Solution,Check\ Point\ CloudGuard\ CNAPP,is_published,true,
Solution,Check\ Point\ Cyberint\ Alerts,is_published,true,
Solution,Check\ Point\ Cyberint\ IOC,is_published,true,
Solution,CheckPhish\ by\ Bolster,is_published,true,
Solution,Cisco\ ACI,is_published,true,
Solution,CiscoASA,is_published,true,
Solution,Cisco\ SD\-WAN,is_published,true,
Solution,CiscoUmbrella,is_published,true,
Solution,CiscoDuoSecurity,is_published,true,
Solution,Cisco\ ETD,is_published,true,
Solution,Cisco\ Firepower\ EStreamer,is_published,true,
Solution,Cisco\ ISE,is_published,true,
Solution,CiscoMeraki,is_published,true,
Solution,Cisco\ Meraki\ Events\ via\ REST\ API,is_published,true,
Solution,CiscoSEG,is_published,true,
Solution,Cisco\ Secure\ Cloud\ Analytics,is_published,true,
Solution,Cisco\ Secure\ Endpoint,is_published,true,
Solution,Cisco\ UCS,is_published,true,
Solution,CiscoWSA,is_published,true,
Solution,Citrix\ ADC,is_published,true,
Solution,Citrix\ Analytics\ for\ Security,is_published,true,
Solution,Claroty,is_published,true,
Solution,Cloud\ Identity\ Threat\ Protection\ Essentials,is_published,true,
Solution,Cloud\ Service\ Threat\ Protection\ Essentials,is_published,true,
Solution,Cloudflare,is_published,true,
Solution,Cloudflare\ CCF,is_published,true,
Solution,Cognni,is_published,true,
Solution,CohesitySecurity,is_published,true,
Solution,Common\ Event\ Format,is_published,true,
Solution,Commvault\ Security\ IQ,is_published,true,
Solution,ContinuousDiagnostics\&Mitigation,is_published,true,
Solution,ContrastADR,is_published,true,
Solution,Contrast\ Protect,is_published,true,
Solution,Corelight,is_published,true,
Solution,Cortex\ XDR,is_published,true,
Solution,Cribl,is_published,true,
Solution,CrowdStrike\ Falcon\ Endpoint\ Protection,is_published,true,
Solution,CustomLogsAma,is_published,true,
Solution,CyberArkAudit,is_published,true,
Solution,CyberArkEPM,is_published,true,
Solution,CyberArk\ Privilege\ Access\ Manager\ \(PAM\)\ Events,is_published,true,
Solution,IONIX,is_published,true,
Solution,CybersecurityMaturityModelCertification\(CMMC\)2\.0,is_published,true,
Solution,Cybersixgill\-Actionable\-Alerts,is_published,true,
Solution,Cyble\ Vision,is_published,true,
Solution,Cyborg\ Security\ HUNTER,is_published,true,
Solution,Cynerio,is_published,true,
Solution,Cyware,is_published,true,
Solution,DEV\-0537DetectionandHunting,is_published,true,
Solution,DNS\ Essentials,is_published,true,
Solution,Darktrace,is_published,true,
Solution,Datalake2Sentinel,is_published,true,
Solution,Dataminr\ Pulse,is_published,true,
Solution,Delinea\ Secret\ Server,is_published,true,
Solution,Dev\ 0270\ Detection\ and\ Hunting,is_published,true,
Solution,Digital\ Guardian\ Data\ Loss\ Prevention,is_published,true,
Solution,Digital\ Shadows,is_published,true,
Solution,DomainTools,is_published,true,
Solution,Doppel,is_published,true,
Solution,Dragos,is_published,true,
Solution,DruvaDataSecurityCloud,is_published,true,
Solution,Dynamics\ 365,is_published,true,
Solution,Dynatrace,is_published,true,
Solution,ESETPROTECT,is_published,true,
Solution,EatonForeseer,is_published,true,
Solution,EclecticIQ,is_published,true,
Solution,Egress\ Iris,is_published,true,
Solution,ElasticAgent,is_published,true,
Solution,Endpoint\ Threat\ Protection\ Essentials,is_published,true,
Solution,Entrust\ identity\ as\ Service,is_published,true,
Solution,Ermes\ Browser\ Security,is_published,true,
Solution,Exabeam\ Advanced\ Analytics,is_published,true,
Solution,ExtraHop,is_published,true,
Solution,F5\ Networks,is_published,true,
Solution,F5\ Big\-IP,is_published,true,
Solution,FalconFriday,is_published,true,
Solution,Farsight\ DNSDB,is_published,true,
Solution,Feedly,is_published,true,
Solution,FireEye\ Network\ Security,is_published,true,
Solution,Flare,is_published,true,
Solution,Forcepoint\ CASB,is_published,true,
Solution,Forcepoint\ CSG,is_published,true,
Solution,Forcepoint\ DLP,is_published,true,
Solution,Forcepoint\ NGFW,is_published,true,
Solution,Forescout\ \(Legacy\),is_published,true,
Solution,ForescoutHostPropertyMonitor,is_published,true,
Solution,Fortinet\ FortiGate\ Next\-Generation\ Firewall\ connector\ for\ Microsoft\ Sentinel,is_published,true,
Solution,Fortinet\ FortiNDR\ Cloud,is_published,true,
Solution,Fortinet\ FortiWeb\ Cloud\ WAF\-as\-a\-Service\ connector\ for\ Microsoft\ Sentinel,is_published,true,
Solution,GDPR\ Compliance\ \&\ Data\ Security,is_published,true,
Solution,Garrison\ ULTRA,is_published,true,
Solution,Gigamon\ Connector,is_published,true,
Solution,GitLab,is_published,true,
Solution,Global\ Secure\ Access,is_published,true,
Solution,Google\ Apigee,is_published,true,
Solution,Google\ Cloud\ Platform\ Audit\ Logs,is_published,true,
Solution,Google\ Cloud\ Platform\ BigQuery,is_published,true,
Solution,Google\ Cloud\ Platform\ Cloud\ Monitoring,is_published,true,
Solution,Google\ Cloud\ Platform\ Cloud\ Run,is_published,true,
Solution,Google\ Cloud\ Platform\ Compute\ Engine,is_published,true,
Solution,GoogleCloudPlatformDNS,is_published,true,
Solution,Google\ Cloud\ Platform\ Firewall\ Logs,is_published,true,
Solution,GoogleCloudPlatformIAM,is_published,true,
Solution,GoogleCloudPlatformIDS,is_published,true,
Solution,Google\ Cloud\ Platform\ Load\ Balancer\ Logs,is_published,true,
