connector_id,connector_title,solution_name,learn_slug,analyzer_table_count,learn_table_count,only_in_analyzer,only_in_learn
GKECCPDefinition,Google Kubernetes Engine (via Codeless Connector Framework),Google Kubernetes Engine,google-kubernetes-engine-via-codeless-connector-framework,6,1,"GKEAPIServer, GKEApplication, GKEControllerManager, GKEHPADecision, GKEScheduler",
GreyNoise2SentinelAPI,GreyNoise Threat Intelligence,GreyNoiseThreatIntelligence,greynoise-threat-intelligence,2,1,"ThreatIntelIndicators, ThreatIntelObjects",ThreatIntelligenceIndicator
HalcyonPush,Halcyon Connector,Halcyon,halcyon-connector,1,5,HalcyonEvents_CL,"HalcyonAuthenticationEvents_CL, HalcyonDnsActivity_CL, HalcyonFileActivity_CL, HalcyonNetworkSession_CL, HalcyonProcessEvent_CL"
IllumioInsightsDefinition,Illumio Insights,Illumio Insight,illumio-insights,1,1,IllumioInsights_CL,IlumioInsights
IllumioSaasCCFDefinition,Illumio Saas,IllumioSaaS,illumio-saas-using-azure-functions,1,2,IllumioFlowEventsV2_CL,"Illumio_Auditable_Events_CL, Illumio_Flow_Events_CL"
ImpervaWAFCloudAPI,Imperva Cloud WAF,ImpervaCloudWAF,imperva-cloud-waf-using-azure-functions,3,1,"ImpervaWAFCloudV2_CL, SentinelImpervaWAFCloudV2Logs",
ImpervaCloudWAFLogsCCFDefinition,Imperva Cloud WAF (via Codeless Connector Framework),ImpervaCloudWAF,imperva-cloud-waf-via-codeless-connector-framework,3,1,"ImpervaWAFCloudV2_CL, ImpervaWAFCloud_CL, SentinelImpervaWAFCloudV2Logs",ImpervaWAFCloud
InfobloxDataConnector,Infoblox Data Connector via REST API,Infoblox,infoblox-data-connector-via-rest-api,2,18,"ThreatIntelIndicators, ThreatIntelObjects","Failed_Range_To_Ingest_CL, Infoblox_Failed_Indicators_CL, dossier_atp_CL, dossier_atp_threat_CL, dossier_dns_CL, dossier_geo_CL, dossier_infoblox_web_cat_CL, dossier_inforank_CL, dossier_malware_analysis_v3_CL, dossier_nameserver_CL, dossier_nameserver_matches_CL, dossier_ptr_CL, dossier_rpz_feeds_CL, dossier_rpz_feeds_records_CL, dossier_threat_actor_CL, dossier_tld_risk_CL, dossier_whitelist_CL, dossier_whois_CL"
JoeSandbox,JoeSandboxThreatIntelligence,JoeSandbox,joesandboxthreatintelligence-using-azure-functions,2,1,"ThreatIntelIndicators, ThreatIntelObjects",ThreatIntelligenceIndicator
SecurePracticeMailRiskConnector,MailRisk by Secure Practice,MailRisk,mailrisk-by-secure-practice-using-azure-functions,1,1,MailRiskEventEmails_CL,MailRiskEmails_CL
MicrosoftCloudAppSecurity,Microsoft Defender for Cloud Apps,Microsoft Defender for Cloud Apps,microsoft-defender-for-cloud-apps,2,2,"McasShadowItReporting, SecurityAlert","McasShadowItReporting​, SecurityAlert​"
MicrosoftDefenderThreatIntelligence,Microsoft Defender Threat Intelligence,Threat Intelligence (NEW),microsoft-defender-threat-intelligence,2,1,"ThreatIntelIndicators, ThreatIntelObjects",ThreatIntelligenceIndicator
MicrosoftThreatProtection,Microsoft Defender XDR,Microsoft Defender XDR,microsoft-defender-xdr,22,7,"DeviceFileCertificateInfo, DeviceFileEvents, DeviceImageLoadEvents, DeviceInfo, DeviceLogonEvents, DeviceNetworkEvents, DeviceNetworkInfo, DeviceProcessEvents, DeviceRegistryEvents, EmailAttachmentInfo, EmailPostDeliveryEvents, EmailUrlInfo, IdentityDirectoryEvents, IdentityQueryEvents, UrlClickEvents",
MISP2SentinelConnector,MISP2Sentinel,MISP2Sentinel,misp2sentinel,2,1,"ThreatIntelIndicators, ThreatIntelObjects",ThreatIntelligenceIndicator
NetskopeAlertsEvents,Netskope Alerts and Events (via Codeless Connector Framework),Netskopev2,netskope-alerts-and-events,9,1,"NetskopeEventsApplication_CL, NetskopeEventsAudit_CL, NetskopeEventsConnection_CL, NetskopeEventsDLP_CL, NetskopeEventsEndpoint_CL, NetskopeEventsInfrastructure_CL, NetskopeEventsNetwork_CL, NetskopeEventsPage_CL",
OktaSSO_Polling,Okta Single Sign-On (Polling CCP),Okta Single Sign-On,okta-single-sign-on-using-azure-functions,1,2,OktaNativePoller_CL,"OktaV2_CL, Okta_CL"
PaloAltoPrismaCloudCSPMCCPDefinition,Palo Alto Prisma Cloud CSPM (via Codeless Connector Framework),PaloAltoPrismaCloud,palo-alto-prisma-cloud-cspm-via-codeless-connector-framework,2,1,PaloAltoPrismaCloudAuditV2_CL,
Pathlock_TDnR,Pathlock Inc.: Threat Detection and Response for SAP,Pathlock_TDnR,pathlock-inc-threat-detection-and-response-for-sap,2,1,Pathlock_TDnR_CL,
PremiumMicrosoftDefenderForThreatIntelligence,Premium Microsoft Defender Threat Intelligence,Threat Intelligence (NEW),premium-microsoft-defender-threat-intelligence,2,1,"ThreatIntelIndicators, ThreatIntelObjects",ThreatIntelligenceIndicator
QualysKbConnector,Qualys Knowledge Base (via Codeless Connector Framework),Qualys VM Knowledgebase,qualys-knowledge-base-via-codeless-connector-framework,2,1,QualysKB_CL,
QualysKB,Qualys VM KnowledgeBase,Qualys VM Knowledgebase,qualys-vm-knowledgebase-using-azure-functions,2,1,QualysKnowledgeBase,
RadiflowIsid,Radiflow iSID via AMA,Radiflow,radiflow-isid-via-ama,1,1,CommonSecurityLog,RadiflowEvent
Rapid7InsightVMConnector,Rapid7 Insight Platform Vulnerability Management Reports (via Codeless Connector Framework),Rapid7InsightVM,rapid7-insight-platform-vulnerability-management-reports-using-azure-functions,2,2,"Rapid7InsightVMCloudAssets, Rapid7InsightVMCloudVulnerabilities","NexposeInsightVMCloud_assets_CL, NexposeInsightVMCloud_vulnerabilities_CL"
SailPointIdentityNowConnector,SailPoint IdentityNow (via Codeless Connector Framework),SailPointIdentityNow,sailpoint-identitynow-using-azure-functions,1,2,SailPointIDN_EventsV2_CL,"SailPointIDN_Events_CL, SailPointIDN_Triggers_CL"
SalesforceServiceCloudCCPDefinition,Salesforce Service Cloud (via Codeless Connector Framework),Salesforce Service Cloud,salesforce-service-cloud-via-codeless-connector-framework,2,1,SalesforceServiceCloudV3_CL,
SamsungDCDefinition,Samsung Knox Asset Intelligence,Samsung Knox Asset Intelligence,samsung-knox-asset-intelligence,6,1,"Samsung_Knox_Application_CL, Samsung_Knox_Network_CL, Samsung_Knox_Process_CL, Samsung_Knox_System_CL, Samsung_Knox_User_CL",
SecurityBridge,SecurityBridge Solution for SAP,SecurityBridge App,securitybridge-solution-for-sap,2,1,SecurityBridge_CL,
SemperisLightningLogsAzureFunctions,Semperis Lightning Logs,SemperisLightning,semperis-lightning-logs,7,3,"LightningAttackPathLinks_CL, LightningIOEsMetadata_CL, LightningIndicatorExecutions_CL, LightningTier0Attackers_CL",
SentinelOneCCP,SentinelOne (via Codeless Connector Framework),SentinelOne,sentinelone-using-azure-functions,5,1,"SentinelOneActivities_CL, SentinelOneAgents_CL, SentinelOneAlerts_CL, SentinelOneGroups_CL, SentinelOneThreats_CL",SentinelOne_CL
SophosEndpointProtectionCCPDefinition,Sophos Endpoint Protection (via Codeless Connector Platform),Sophos Endpoint Protection,sophos-endpoint-protection-via-codeless-connector-platform,2,1,SophosEPAlerts_CL,
SynqlyIntegrationConnector,Synqly Integration Connector,SynqlyIntegrationConnector,synqly-integration-connector,10,1,"ASimAuditEventLogs, ASimAuthenticationEventLogs, ASimDhcpEventLogs, ASimDnsActivityLogs, ASimFileEventLogs, ASimNetworkSessionLogs, ASimProcessEventLogs, ASimRegistryEventLogs, ASimUserManagementActivityLogs, ASimWebSessionLogs","union ASimAuditEventLogs, ASimAuthenticationEventLogs, ASimDhcpEventLogs, ASimDnsActivityLogs, ASimFileEventLogs, ASimNetworkSessionLogs, ASimProcessEventLogs, ASimRegistryEventLogs, ASimUserManagementActivityLogs, ASimWebSessionLogs"
TenableIE,Tenable Identity Exposure,Tenable App,tenable-identity-exposure,2,0,"AlsidForADLog_CL, Tenable_IE_CL",
TheHiveConnector,TheHive (via Codeless Connector Framework),TheHive,thehive-via-codeless-connector-framework,0,1,,TheHiveData
ThreatIntelligenceTaxii,Threat intelligence - TAXII,Threat Intelligence (NEW),threat-intelligence---taxii,2,1,"ThreatIntelIndicators, ThreatIntelObjects",ThreatIntelligenceIndicator
ThreatIntelligence,Threat Intelligence Platforms,Threat Intelligence (NEW),threat-intelligence-platforms,3,1,"CommonSecurityLog, ThreatIntelIndicators, ThreatIntelObjects",ThreatIntelligenceIndicator
ThreatIntelligenceUploadIndicatorsAPI,Threat Intelligence Upload API (Preview),Threat Intelligence (NEW),threat-intelligence-upload-api-preview,2,1,"ThreatIntelIndicators, ThreatIntelObjects",ThreatIntelligenceIndicator
TrellixConnector,Trellix Endpoint Security (via Codeless Connector Framework),Trellix,trellix-endpoint-security-via-codeless-connector-framework,1,1,TrellixEvents_CL,TrellixEvents
TropicoAlertsDefinition,Tropico Security - Alerts,Tropico,tropico-security---alerts,1,1,Tropico_Alerts_CL,{{graphQueriesTableName}}
TropicoEventsDefinition,Tropico Security - Events,Tropico,tropico-security---events,1,1,Tropico_Events_CL,{{graphQueriesTableName}}
TropicoIncidentsDefinition,Tropico Security - Incidents,Tropico,tropico-security---incidents,1,1,Tropico_Incidents_CL,{{graphQueriesTableName}}
VMRay,VMRayThreatIntelligence,VMRay,vmraythreatintelligence-using-azure-functions,2,1,"ThreatIntelIndicators, ThreatIntelObjects",ThreatIntelligenceIndicator
carbonBlackAWSS3,VMware Carbon Black Cloud via AWS S3,VMware Carbon Black Cloud,vmware-carbon-black-cloud-via-aws-s3-via-codeless-connector-framework,7,1,"ASimAuthenticationEventLogs, ASimFileEventLogs, ASimNetworkSessionLogs, ASimProcessEventLogs, ASimRegistryEventLogs, CarbonBlack_Watchlist_CL",
WindowsFirewall,Windows Firewall,Windows Firewall,windows-firewall,1,0,WindowsFirewall,
WindowsFirewallAma,Windows Firewall Events via AMA,Windows Firewall,windows-firewall-events-via-ama,1,0,ASimNetworkSessionLogs,
Wiz,Wiz,Wiz,wiz-using-azure-functions,6,3,"WizAuditLogsV2_CL, WizAuditLogs_CL, WizIssuesV2_CL, WizIssues_CL, WizVulnerabilitiesV2_CL, WizVulnerabilities_CL","union isfuzzy=true (WizAuditLogs_CL),(WizAuditLogsV2_CL), union isfuzzy=true (WizIssues_CL),(WizIssuesV2_CL), union isfuzzy=true (WizVulnerabilities_CL),(WizVulnerabilitiesV2_CL)"
ZimperiumMtdAlerts,Zimperium Mobile Threat Defense,Zimperium Mobile Threat Defense,zimperium-mobile-threat-defense,2,1,ZimperiumMitigationLog_CL,
ZimperiumMTDPush,Zimperium Mobile Threat Defense CCF,Zimperium Mobile Threat Defense,zimperium-mobile-threat-defense,2,1,"ZimperiumMitigationLogV2_CL, ZimperiumThreatLogV2_CL",ZimperiumThreatLog_CL
