TimeGenerated,system_token_s,threat_detail_s,account_id_g,severity_name_s,event_id_g,threat_name_s,threat_uuid_g,threat_vector_s,device_time_t,device_id_g,device_model_s,device_jailbroken_b,zdevice_id_g,detection_app_instance_id_g,detection_app_version_s,device_os_s,device_os_version_s,device_owner_id_g,device_owner_email_s,device_owner_first_name_s,device_owner_last_name_s,device_ip_s,device_mac_s,gateway_ip_s,gateway_mac_s,base_station_s,attacker_ip_s,attacker_mac_s,attacker_bssid_s,attacker_ssid_s,network_s,network_bssid_s,network_interface_s,stagefright_vulnerability_report_s,jailbreak_reasons_s,process_s,sideloaded_app_developer_s,sideloaded_app_name_s,sideloaded_app_package_s,event_s,file_name_s,file_hash_g,file_path_s,suspected_url_s,malware_list_s,package_name_s,malware_family_s,installer_source_s,action_triggered_s,profile_name_s,profile_type_s,profile_identifier_s,subnet_mask_s,network_encryption_s,external_ip_s,certificate_s
2020-02-10T20:16:42.187Z,zipsemm5,https://feature5-console.zdevzoo.com/event/details?id=9240c8e8-b621-46d3-8787-e455c1d211f4,ec1200dc-009d-406c-903c-1e2f16fda553,LOW,9240c8e8-b621-46d3-8787-e455c1d211f4,MALICIOUS_WEBSITE,a5dda50d-39d1-4f4b-997b-2a9db8c2ae52,Device,2020-02-10T20:16:41.899Z,6686dfd8-c1b1-4845-a940-9b32d4bd08f3,,false,051163e2-f1c7-4d46-950e-c4481335366d,d4e3465f-5127-4607-8717-96687ce57067,4.10.0,android,,76ecd7ad-e86e-48b1-86eb-807c29ceda97,zipsemm5-gdpr-user@zimperium.com,anonymous,user,192.168.1.253,46:b8:ac:9e:50:59,192.168.0.1,6c:19:8f:f4:42:b2,{},,,,,AUTOMATION,e8:fc:af:f6:a5:8d,wlan0,,,,,,,,,,,http://www.scbusinc.com/yahoo/d,,,,,,,,,,,,
2020-02-10T19:59:56.476Z,zipsemm5,https://feature5-console.zdevzoo.com/event/details?id=d87732df-6005-4443-96f6-2dcafe0643b8,ec1200dc-009d-406c-903c-1e2f16fda553,CRITICAL,d87732df-6005-4443-96f6-2dcafe0643b8,APK_SUSPECTED,189e5b06-d02e-43c2-8936-44361ffc7ee4,Malware,2020-02-10T19:59:54.474Z,f295e6d3-d94b-499a-bcfb-cb2a52e584e5,,false,8ee4df65-9ff1-454b-8da8-3932a9b122d8,3d95a496-4f08-4791-89a0-e088ad595f0f,4.10.0,android,,76ecd7ad-e86e-48b1-86eb-807c29ceda97,zipsemm5-gdpr-user@zimperium.com,anonymous,user,192.168.1.102,78:24:ca:28:b3:bb,192.168.0.1,6c:19:8f:f4:42:b2,{},,,,,AUTOMATION,e8:fc:af:f6:a5:8d,wlan0,,,MainActivity,,,,,/storage/emulated/0/Download/example-1.apk,7a950881-039c-3281-a2f4-6d423a42a1f3,/data/app/com.qrcodereader.qrcodescanner-6erO2zaKLB05pQChbb0yJw==/base.apk,,"{\""RiskwareU+FFOEMagiskManagerStub\"": 5.0}",com.qrcodereader.qrcodescanner,Riskware,com.android.vending,Silent Alert,,,,255.255.254.0,Unknown,38.96.200.164,
2020-02-10T20:12:41.04Z,zipsemm5,https://feature5-console.zdevzoo.com/event/details?id=0b4ea967-1584-48bf-9d37-e098c2f81722,ec1200dc-009d-406c-903c-1e2f16fda553,ELEVATED,0b4ea967-1584-48bf-9d37-e098c2f81722,SIDELOADED_APP,c4ba682a-16ae-4f94-b7a0-3636af88f5c1,Device,2020-02-10T20:12:40.494Z,9296aa36-02dd-4dcc-9d86-2f2fda021c2f,,false,104e8333-0728-4479-b6f8-73db018f5f7f,bf13ca78-71b9-466f-8aa1-a10415eb08fa,4.10.0,android,,76ecd7ad-e86e-48b1-86eb-807c29ceda97,zipsemm5-gdpr-user@zimperium.com,anonymous,user,192.168.1.129,b4:fa:e7:3a:34:4e,192.168.0.1,6c:19:8f:f4:42:b2,"{""mnc"":410,""psc"":137,""type"":""WCDMA"",""cid"":106061950,""mcc"":310,""lac"":52664}",,,,,AUTOMATION,e8:fc:af:f6:a5:8d,wlan0,,,,"C=US, O=Android, CN=Android Debug",test,ziap.zimperium.com.ziaptestdemo.test,,,,,,,,,,,,,,,,,
2020-02-10T20:12:41.399Z,zipsemm5,https://feature5-console.zdevzoo.com/event/details?id=a5afb58f-bc68-4fa1-ab9b-05ae032a8798,ec1200dc-009d-406c-903c-1e2f16fda553,CRITICAL,a5afb58f-bc68-4fa1-ab9b-05ae032a8798,APP_TAMPERING,c2164ed1-3a0f-4fbf-a3f8-336096081e1b,Device,2020-02-10T20:12:40.916Z,9296aa36-02dd-4dcc-9d86-2f2fda021c2f,,false,104e8333-0728-4479-b6f8-73db018f5f7f,bf13ca78-71b9-466f-8aa1-a10415eb08fa,4.10.0,android,,76ecd7ad-e86e-48b1-86eb-807c29ceda97,zipsemm5-gdpr-user@zimperium.com,anonymous,user,192.168.1.129,b4:fa:e7:3a:34:4e,192.168.0.1,6c:19:8f:f4:42:b2,"{""mnc"":410,""psc"":137,""type"":""WCDMA"",""cid"":106061950,""mcc"":310,""lac"":52664}",,,,,AUTOMATION,e8:fc:af:f6:a5:8d,wlan0,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10T20:12:41.555Z,zipsemm5,https://feature5-console.zdevzoo.com/event/details?id=8190ea67-13d5-4741-85cf-3da53a9704bf,ec1200dc-009d-406c-903c-1e2f16fda553,CRITICAL,8190ea67-13d5-4741-85cf-3da53a9704bf,APK_SUSPECTED,1102d71c-e793-4565-b350-3a0cc1a5f7c0,Malware,2020-02-10T20:12:40.726Z,9296aa36-02dd-4dcc-9d86-2f2fda021c2f,,false,104e8333-0728-4479-b6f8-73db018f5f7f,bf13ca78-71b9-466f-8aa1-a10415eb08fa,4.10.0,android,,76ecd7ad-e86e-48b1-86eb-807c29ceda97,zipsemm5-gdpr-user@zimperium.com,anonymous,user,192.168.1.129,b4:fa:e7:3a:34:4e,192.168.0.1,6c:19:8f:f4:42:b2,{},,,,,AUTOMATION,e8:fc:af:f6:a5:8d,wlan0,,,com.geohot.towelroot,,,,,/data/app/com.geohot.towelroot-85J2DoD8B6sf9rBtehg-pA==/base.apk,e287e785-d0e3-e043-fb0c-fbfe69309d8e,,,,,,,,,,,,,,
2020-02-10T20:12:42.281Z,zipsemm5,https://feature5-console.zdevzoo.com/event/details?id=f89da0a9-4fe1-4ee2-8ef8-76313ee17acd,ec1200dc-009d-406c-903c-1e2f16fda553,LOW,f89da0a9-4fe1-4ee2-8ef8-76313ee17acd,ANDROID_COMPATIBILITY_TESTING,be8780c9-e5c2-4834-9407-a0c5e08695ac,Device,2020-02-10T20:12:41.639Z,9296aa36-02dd-4dcc-9d86-2f2fda021c2f,,false,104e8333-0728-4479-b6f8-73db018f5f7f,bf13ca78-71b9-466f-8aa1-a10415eb08fa,4.10.0,android,,76ecd7ad-e86e-48b1-86eb-807c29ceda97,zipsemm5-gdpr-user@zimperium.com,anonymous,user,192.168.1.129,b4:fa:e7:3a:34:4e,192.168.0.1,6c:19:8f:f4:42:b2,"{""mnc"":410,""psc"":137,""type"":""WCDMA"",""cid"":106061950,""mcc"":310,""lac"":52664}",,,,,AUTOMATION,e8:fc:af:f6:a5:8d,wlan0,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10T20:12:43.105Z,zipsemm5,https://feature5-console.zdevzoo.com/event/details?id=74aade4b-c90a-4d54-a8ed-f56416c38db0,ec1200dc-009d-406c-903c-1e2f16fda553,CRITICAL,74aade4b-c90a-4d54-a8ed-f56416c38db0,ARP_MITM,5ce41f0d-4f42-44ee-aa7e-5b37fb1f3c3e,Network,2020-02-10T20:12:42.051Z,9296aa36-02dd-4dcc-9d86-2f2fda021c2f,,false,104e8333-0728-4479-b6f8-73db018f5f7f,bf13ca78-71b9-466f-8aa1-a10415eb08fa,4.10.0,android,,76ecd7ad-e86e-48b1-86eb-807c29ceda97,zipsemm5-gdpr-user@zimperium.com,anonymous,user,192.168.1.129,b4:fa:e7:3a:34:4e,192.168.0.1,00:c0:ca:8f:d6:31,"{""mnc"":260,""psc"":251,""type"":""WCDMA"",""cid"":124989446,""mcc"":310,""lac"":45991}",192.168.0.100,00:c0:ca:8f:d6:31,,,AUTOMATION,e8:fc:af:f6:a5:8d,wlan0,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10T20:12:43.056Z,zipsemm5,https://feature5-console.zdevzoo.com/event/details?id=44cefc76-21b5-419d-8174-7f6f9401c3f8,ec1200dc-009d-406c-903c-1e2f16fda553,ELEVATED,44cefc76-21b5-419d-8174-7f6f9401c3f8,ABNORMAL_PROCESS_ACTIVITY,e5d8c17c-9337-487e-87e5-bfa86fb0c12d,Device,2020-02-10T20:12:41.87Z,9296aa36-02dd-4dcc-9d86-2f2fda021c2f,,false,104e8333-0728-4479-b6f8-73db018f5f7f,bf13ca78-71b9-466f-8aa1-a10415eb08fa,4.10.0,android,,76ecd7ad-e86e-48b1-86eb-807c29ceda97,zipsemm5-gdpr-user@zimperium.com,anonymous,user,192.168.1.129,b4:fa:e7:3a:34:4e,192.168.0.1,6c:19:8f:f4:42:b2,{},,,,,AUTOMATION,e8:fc:af:f6:a5:8d,wlan0,,,/init (1) -> /system/bin/debuggerd (289) -> dumpstate (2004) -> logcat (2111) -b radio -v threadtime -d *:v,,,,,,,,,,,,,,,,,,,,
2020-02-10T20:18:50.197Z,zipsemm5,https://feature5-console.zdevzoo.com/event/details?id=b2669afc-a14a-4140-955d-2d5189ae7a56,ec1200dc-009d-406c-903c-1e2f16fda553,CRITICAL,b2669afc-a14a-4140-955d-2d5189ae7a56,ARP_MITM,273a8e91-34ad-4ac4-9e60-236cca1b338d,Network,2020-02-10T20:18:49.658Z,21f322e8-0fd6-4328-96d2-f36063a8b455,,false,2ffd2688-d418-457d-898d-34b6186bcd31,27495d77-c8e3-4e85-9606-8b4e8f90525d,4.10.0,ios,,76ecd7ad-e86e-48b1-86eb-807c29ceda97,zipsemm5-gdpr-user@zimperium.com,anonymous,user,192.168.1.206,12:77:8c:92:fa:c0,192.168.0.1,00:c0:ca:8f:d6:31,,192.168.0.102,00:c0:ca:8f:d6:31,,,AUTOMATION,e8:fc:af:f6:a5:8d,en0,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10T20:18:50.244Z,zipsemm5,https://feature5-console.zdevzoo.com/event/details?id=13afedef-4c1d-4f34-98c7-860f5d7545dc,ec1200dc-009d-406c-903c-1e2f16fda553,ELEVATED,13afedef-4c1d-4f34-98c7-860f5d7545dc,SIDELOADED_APP,f3c9106f-dcca-4a26-93d9-d9ba5591ac7f,Device,2020-02-10T20:18:49.794Z,21f322e8-0fd6-4328-96d2-f36063a8b455,,false,2ffd2688-d418-457d-898d-34b6186bcd31,27495d77-c8e3-4e85-9606-8b4e8f90525d,4.10.0,ios,,76ecd7ad-e86e-48b1-86eb-807c29ceda97,zipsemm5-gdpr-user@zimperium.com,anonymous,user,192.168.1.206,12:77:8c:92:fa:c0,192.168.0.1,02:00:00:00:00:00,,,,,,AUTOMATION,e8:fc:af:f6:a5:8d,en0,,,,"iPhone Distribution: Zimperium, Inc.",,,,,,,,,,,,,,,,,,,
2020-02-10T20:18:50.556Z,zipsemm5,https://feature5-console.zdevzoo.com/event/details?id=67d2ae57-9aca-46dc-a92c-fe47ded58386,ec1200dc-009d-406c-903c-1e2f16fda553,CRITICAL,67d2ae57-9aca-46dc-a92c-fe47ded58386,ROGUE_ACCESS_POINT,05de911e-fb6e-45b7-bdd5-9540266afc84,Network,2020-02-10T20:18:50.159Z,21f322e8-0fd6-4328-96d2-f36063a8b455,,false,2ffd2688-d418-457d-898d-34b6186bcd31,27495d77-c8e3-4e85-9606-8b4e8f90525d,4.10.0,ios,,76ecd7ad-e86e-48b1-86eb-807c29ceda97,zipsemm5-gdpr-user@zimperium.com,anonymous,user,192.168.1.206,12:77:8c:92:fa:c0,192.168.43.1,00:c0:ca:aa:bb:cc,"{""mnc"":260,""psc"":251,""type"":""WCDMA"",""cid"":124989446,""mcc"":310,""lac"":45991}",,,00:c0:ca:aa:bb:cc,"""Planet""",AUTOMATION,e8:fc:af:f6:a5:8d,wlan0,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10T20:18:50.572Z,zipsemm5,https://feature5-console.zdevzoo.com/event/details?id=f6316197-84ae-43d3-a870-25d242397a5d,ec1200dc-009d-406c-903c-1e2f16fda553,LOW,f6316197-84ae-43d3-a870-25d242397a5d,ROGUE_ACCESS_POINT_NEARBY,7fc1e1bc-7bff-4592-8982-22f3cd27382f,Network,2020-02-10T20:18:50.343Z,21f322e8-0fd6-4328-96d2-f36063a8b455,,false,2ffd2688-d418-457d-898d-34b6186bcd31,27495d77-c8e3-4e85-9606-8b4e8f90525d,4.10.0,ios,,76ecd7ad-e86e-48b1-86eb-807c29ceda97,zipsemm5-gdpr-user@zimperium.com,anonymous,user,192.168.1.206,12:77:8c:92:fa:c0,192.168.0.1,00:00:00:00:00:00,"{""mnc"":260,""psc"":510,""type"":""WCDMA"",""cid"":124989444,""mcc"":310,""lac"":45991}",,,00:c0:ca:8f:d6:31,85GLG85IXZHP,AUTOMATION,e8:fc:af:f6:a5:8d,wlan0,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10T20:18:50.892Z,zipsemm5,https://feature5-console.zdevzoo.com/event/details?id=e36fe6a4-b72a-449c-b896-e552b8a8aa35,ec1200dc-009d-406c-903c-1e2f16fda553,CRITICAL,e36fe6a4-b72a-449c-b896-e552b8a8aa35,SELINUX_DISABLED,174326e5-d3cc-4a7a-8819-0c3cca003371,Device,2020-02-10T20:18:50.548Z,21f322e8-0fd6-4328-96d2-f36063a8b455,,false,2ffd2688-d418-457d-898d-34b6186bcd31,27495d77-c8e3-4e85-9606-8b4e8f90525d,4.10.0,ios,,76ecd7ad-e86e-48b1-86eb-807c29ceda97,zipsemm5-gdpr-user@zimperium.com,anonymous,user,192.168.1.206,12:77:8c:92:fa:c0,192.168.0.1,6c:19:8f:f4:42:b2,"{""mnc"":260,""mcc"":310,""pci"":97,""ci"":16494338,""tac"":31892,""type"":""LTE""}",,,,,AUTOMATION,e8:fc:af:f6:a5:8d,wlan0,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10T20:18:51.196Z,zipsemm5,https://feature5-console.zdevzoo.com/event/details?id=f61fc964-61d4-4de2-8978-ba36ba01173b,ec1200dc-009d-406c-903c-1e2f16fda553,ELEVATED,f61fc964-61d4-4de2-8978-ba36ba01173b,MALICIOUS_WEBSITE_OPENED,6daa3db2-207c-4dca-ac8b-b646f4242848,Device,2020-02-10T20:18:50.84Z,21f322e8-0fd6-4328-96d2-f36063a8b455,,false,2ffd2688-d418-457d-898d-34b6186bcd31,27495d77-c8e3-4e85-9606-8b4e8f90525d,4.10.0,ios,,76ecd7ad-e86e-48b1-86eb-807c29ceda97,zipsemm5-gdpr-user@zimperium.com,anonymous,user,192.168.1.206,12:77:8c:92:fa:c0,192.168.0.1,6c:19:8f:f4:42:b2,{},,,,,AUTOMATION,e8:fc:af:f6:a5:8d,wlan0,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10T20:18:50.26Z,zipsemm5,https://feature5-console.zdevzoo.com/event/details?id=3be8364c-6ba3-4330-82bb-0d307146a692,ec1200dc-009d-406c-903c-1e2f16fda553,CRITICAL,3be8364c-6ba3-4330-82bb-0d307146a692,DEVICE_ROOTED,1a511f73-8b4e-4205-91b0-905952b54637,Device,2020-02-10T20:18:49.95Z,21f322e8-0fd6-4328-96d2-f36063a8b455,,false,2ffd2688-d418-457d-898d-34b6186bcd31,27495d77-c8e3-4e85-9606-8b4e8f90525d,4.10.0,ios,,76ecd7ad-e86e-48b1-86eb-807c29ceda97,zipsemm5-gdpr-user@zimperium.com,anonymous,user,192.168.1.206,12:77:8c:92:fa:c0,127.0.0.1,00:00:00:00:00:00,,,,,,AUTOMATION,e8:fc:af:f6:a5:8d,lo0,,"[ ""[""Found \/Library\/MobileSubstrate\/MobileSubstrate.dylib"",""Found \/bin\/bash"",""Found \/bin\/sh"",""Found \/Applications\/Cydia.app\/Cydia"",""Found \/usr\/sbin\/sshd"",""Found \/pguntether"",""Found \/etc\/apt"",""\/Applications is a symlink"",""compromised boot arguments : cs_enforcement_disable=1"",""sysctl 'security.mac.proc_enforce' disabled"",""root filesystem is mounted read-write"",""data filesystem is mounted suid and\/or allows dev files""]"" ]",,,,,,,,,,,,,,,,,,,,,
