TimeGenerated [UTC],access_method,action,app,appcategory,category,cci,ccl,client_bytes,client_packets,count_i,device,domain,dst_country,dst_geoip_src,dst_latitude,dst_location,dst_longitude,dst_region,dst_zipcode,dsthost,dstip,dstport,end_time,flow_status,hostname,ip_protocol,netskope_pop,network_session_id,num_sessions,numbytes,organization_unit,os,os_version,policy,pop_id,protocol,protocol_port,publisher_cn,publisher_name,sAMAccountName,server_bytes,server_packets,session_duration,site,src_country,src_geoip_src,src_latitude,src_location,src_longitude,src_region,src_zipcode,srcip,srcport,start_time,timestamp,total_packets,traffic_type,tunnel_id,tunnel_type,tunnel_up_time,type_s,ur_normalized,user,userip,userkey,userPrincipalName,TenantId,Type,_ResourceId
"2/4/2025, 7:30:23 PM",IPSec,allow,Internet Control Message Protocol (ICMP),n/a,n/a,0,unknown,28,1,1,,,,2,0,,0,,,,1.2.3.14,0,2025-01-03T05:53:34.0000000+00:00,close,,ICMP,,,0,28,,,,default,,,,,,,0,0,0,icmp,CA,2,43,Toronto,-80,Ontario,M5A,1.2.3.14,0,2025-01-03T05:53:34.0000000+00:00,1735883617,1,non-web,83,,0,network,1.2.3.10,1.2.3.10,1.2.3.14,1.2.3.10,,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsNetwork_CL,
"2/4/2025, 7:30:23 PM",IPSec,allow,Internet Control Message Protocol (ICMP),n/a,n/a,0,unknown,0,0,1,,,,2,0,,0,,,,1.2.3.15,0,,open,,ICMP,,,0,0,,,,default,,,,,,,0,0,0,icmp,CA,2,43,Toronto,-80,Ontario,M5A,1.2.3.15,0,2025-01-03T05:53:34.0000000+00:00,1735883614,0,non-web,83,,0,network,1.2.3.11,1.2.3.11,1.2.3.15,1.2.3.11,,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsNetwork_CL,
"2/4/2025, 7:30:23 PM",Client,allow,Domain Name Service (DNS),Shopping,Shopping,0,unknown,240,2,1,Other,,US,1,47,Redmond,-123,Washington,,,1.2.3.16,53,2025-01-03T05:53:34.0000000+00:00,close,,UDP,,,0,500,,Windows Server 10.0,,default,,,,,,,260,1,4012,dns,US,2,37,San Jose,-122,California,95141,1.2.3.16,58698,2025-01-03T05:53:30.0000000+00:00,1735883621,3,non-web,1126767658735683,,0,network,adam.sandler@gmail.com,adam.sandler@gmail.com,1.2.3.16,adam.sandler@gmail.com,,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsNetwork_CL,
"2/4/2025, 7:30:23 PM",IPSec,allow,Internet Control Message Protocol (ICMP),n/a,n/a,0,unknown,0,0,1,,,,2,0,,0,,,,1.2.3.17,0,,open,,ICMP,,,0,0,,,,default,,,,,,,0,0,0,icmp,CA,2,43,Toronto,-80,Ontario,M5A,1.2.3.17,0,2025-01-03T05:53:39.0000000+00:00,1735883619,0,non-web,83,,0,network,1.2.3.12,1.2.3.12,1.2.3.17,1.2.3.12,,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsNetwork_CL,
"2/4/2025, 7:30:23 PM",IPSec,allow,Internet Control Message Protocol (ICMP),n/a,n/a,0,unknown,28,1,1,,,,2,0,,0,,,,1.2.3.18,0,2025-01-03T05:53:39.0000000+00:00,close,,ICMP,,,0,28,,,,default,,,,,,,0,0,0,icmp,CA,2,43,Toronto,-80,Ontario,M5A,1.2.3.18,0,2025-01-03T05:53:39.0000000+00:00,1735883621,1,non-web,83,,0,network,1.2.3.13,1.2.3.13,1.2.3.18,1.2.3.13,,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsNetwork_CL,
"2/4/2025, 7:30:23 PM",IPSec,allow,Internet Control Message Protocol (ICMP),n/a,n/a,0,unknown,0,0,1,,,,2,0,,0,,,,1.2.3.19,0,,open,,ICMP,,,0,0,,,,default,,,,,,,0,0,0,icmp,CA,2,43,Toronto,-80,Ontario,M5A,1.2.3.19,0,2025-01-03T05:53:44.0000000+00:00,1735883624,0,non-web,83,,0,network,1.2.3.14,1.2.3.14,1.2.3.19,1.2.3.14,,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsNetwork_CL,
"2/4/2025, 7:30:23 PM",IPSec,allow,Internet Control Message Protocol (ICMP),n/a,n/a,0,unknown,28,1,1,,,,2,0,,0,,,,1.2.3.20,0,2025-01-03T05:53:44.0000000+00:00,close,,ICMP,,,0,28,,,,default,,,,,,,0,0,0,icmp,CA,2,43,Toronto,-80,Ontario,M5A,1.2.3.20,0,2025-01-03T05:53:44.0000000+00:00,1735883626,1,non-web,83,,0,network,1.2.3.15,1.2.3.15,1.2.3.20,1.2.3.15,,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsNetwork_CL,
"2/4/2025, 7:30:23 PM",IPSec,allow,Internet Control Message Protocol (ICMP),n/a,n/a,0,unknown,0,0,1,,,,2,0,,0,,,,1.2.3.21,0,,open,,ICMP,,,0,0,,,,default,,,,,,,0,0,0,icmp,CA,2,43,Toronto,-80,Ontario,M5A,1.2.3.21,0,2025-01-03T05:53:49.0000000+00:00,1735883629,0,non-web,83,,0,network,1.2.3.16,1.2.3.16,1.2.3.21,1.2.3.16,,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsNetwork_CL,
"2/4/2025, 7:30:23 PM",IPSec,allow,Internet Control Message Protocol (ICMP),n/a,n/a,0,unknown,28,1,1,,,,2,0,,0,,,,1.2.3.22,0,2025-01-03T05:53:49.0000000+00:00,close,,ICMP,,,0,28,,,,default,,,,,,,0,0,0,icmp,CA,2,43,Toronto,-80,Ontario,M5A,1.2.3.22,0,2025-01-03T05:53:49.0000000+00:00,1735883631,1,non-web,83,,0,network,1.2.3.17,1.2.3.17,1.2.3.22,1.2.3.17,,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsNetwork_CL,
"2/4/2025, 7:30:23 PM",Client,allow,,n/a,n/a,0,unknown,0,0,1,Other,,US,1,47,Redmond,-123,Washington,,,1.2.3.23,32526,,open,,TCP,,,0,0,,Windows Server 10.0,,default,,,,,,,0,0,0,,US,2,37,San Jose,-122,California,95141,1.2.3.23,54126,2025-01-03T05:53:47.0000000+00:00,1735883627,0,non-web,1126767658735683,,0,network,adam.sandler@gmail.com,adam.sandler@gmail.com,1.2.3.23,adam.sandler@gmail.com,,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsNetwork_CL,
